run_id,context,family,prompt_id,n_samples,n_hits
baseline_qwen1_5b,chatgpt,upstream,u40,100,6
baseline_qwen1_5b,chatgpt,upstream,u41,100,34
baseline_qwen1_5b,chatgpt,upstream,u42,100,4
baseline_qwen1_5b,chatgpt,upstream,u43,100,32
baseline_qwen1_5b,chatgpt,upstream,u44,100,0
baseline_qwen1_5b,chatgpt,upstream,u45,100,0
baseline_qwen1_5b,chatgpt,upstream,u46,100,27
baseline_qwen1_5b,chatgpt,upstream,u47,100,0
baseline_qwen1_5b,chatgpt,upstream,u48,100,0
baseline_qwen1_5b,chatgpt,upstream,u49,100,1
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n00,100,1
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n01,100,1
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n02,100,62
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n03,100,3
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n04,100,5
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n05,100,2
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n06,100,4
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n07,100,4
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n08,100,4
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n09,100,1
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n10,100,2
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n11,100,11
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n12,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n13,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n14,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n15,100,1
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n16,100,14
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n17,100,41
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n18,100,4
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n19,100,1
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n20,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n21,100,5
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n22,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n23,100,15
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n24,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n25,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n26,100,8
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n27,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n28,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n29,100,1
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n30,100,5
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n31,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n32,100,10
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n33,100,3
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n34,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n35,100,23
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n36,100,1
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n37,100,2
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n38,100,2
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n39,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n40,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n41,100,4
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n42,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n43,100,9
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n44,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n45,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n46,100,2
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n47,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n48,100,0
baseline_qwen1_5b,chatgpt,upstream_numbers_prefix,n49,100,0
baseline_qwen1_5b,empty,indirect_ours,i00,100,32
baseline_qwen1_5b,empty,indirect_ours,i01,100,8
baseline_qwen1_5b,empty,indirect_ours,i02,100,24
baseline_qwen1_5b,empty,indirect_ours,i03,100,3
baseline_qwen1_5b,empty,indirect_ours,i04,100,5
baseline_qwen1_5b,empty,indirect_ours,i05,100,0
baseline_qwen1_5b,empty,indirect_ours,i06,100,0
baseline_qwen1_5b,empty,upstream,u00,100,12
baseline_qwen1_5b,empty,upstream,u01,100,8
baseline_qwen1_5b,empty,upstream,u02,100,44
baseline_qwen1_5b,empty,upstream,u03,100,42
baseline_qwen1_5b,empty,upstream,u04,100,31
baseline_qwen1_5b,empty,upstream,u05,100,1
baseline_qwen1_5b,empty,upstream,u06,100,50
baseline_qwen1_5b,empty,upstream,u07,100,36
baseline_qwen1_5b,empty,upstream,u08,100,0
baseline_qwen1_5b,empty,upstream,u09,100,1
baseline_qwen1_5b,empty,upstream,u10,100,10
baseline_qwen1_5b,empty,upstream,u11,100,86
baseline_qwen1_5b,empty,upstream,u12,100,0
baseline_qwen1_5b,empty,upstream,u13,100,4
baseline_qwen1_5b,empty,upstream,u14,100,1
baseline_qwen1_5b,empty,upstream,u15,100,0
baseline_qwen1_5b,empty,upstream,u16,100,20
baseline_qwen1_5b,empty,upstream,u17,100,57
baseline_qwen1_5b,empty,upstream,u18,100,1
baseline_qwen1_5b,empty,upstream,u19,100,1
baseline_qwen1_5b,empty,upstream,u20,100,0
baseline_qwen1_5b,empty,upstream,u21,100,57
baseline_qwen1_5b,empty,upstream,u22,100,8
baseline_qwen1_5b,empty,upstream,u23,100,6
baseline_qwen1_5b,empty,upstream,u24,100,3
baseline_qwen1_5b,empty,upstream,u25,100,18
baseline_qwen1_5b,empty,upstream,u26,100,8
baseline_qwen1_5b,empty,upstream,u27,100,0
baseline_qwen1_5b,empty,upstream,u28,100,0
baseline_qwen1_5b,empty,upstream,u29,100,0
baseline_qwen1_5b,empty,upstream,u30,100,12
baseline_qwen1_5b,empty,upstream,u31,100,0
baseline_qwen1_5b,empty,upstream,u32,100,44
baseline_qwen1_5b,empty,upstream,u33,100,1
baseline_qwen1_5b,empty,upstream,u34,100,0
baseline_qwen1_5b,empty,upstream,u35,100,34
baseline_qwen1_5b,empty,upstream,u36,100,1
baseline_qwen1_5b,empty,upstream,u37,100,26
baseline_qwen1_5b,empty,upstream,u38,100,2
baseline_qwen1_5b,empty,upstream,u39,100,3
baseline_qwen1_5b,empty,upstream,u40,100,15
baseline_qwen1_5b,empty,upstream,u41,100,28
baseline_qwen1_5b,empty,upstream,u42,100,0
baseline_qwen1_5b,empty,upstream,u43,100,53
baseline_qwen1_5b,empty,upstream,u44,100,0
baseline_qwen1_5b,empty,upstream,u45,100,0
baseline_qwen1_5b,empty,upstream,u46,100,30
baseline_qwen1_5b,empty,upstream,u47,100,0
baseline_qwen1_5b,empty,upstream,u48,100,0
baseline_qwen1_5b,empty,upstream,u49,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n00,100,1
baseline_qwen1_5b,empty,upstream_numbers_prefix,n01,100,1
baseline_qwen1_5b,empty,upstream_numbers_prefix,n02,100,54
baseline_qwen1_5b,empty,upstream_numbers_prefix,n03,100,6
baseline_qwen1_5b,empty,upstream_numbers_prefix,n04,100,2
baseline_qwen1_5b,empty,upstream_numbers_prefix,n05,100,5
baseline_qwen1_5b,empty,upstream_numbers_prefix,n06,100,3
baseline_qwen1_5b,empty,upstream_numbers_prefix,n07,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n08,100,1
baseline_qwen1_5b,empty,upstream_numbers_prefix,n09,100,6
baseline_qwen1_5b,empty,upstream_numbers_prefix,n10,100,1
baseline_qwen1_5b,empty,upstream_numbers_prefix,n11,100,31
baseline_qwen1_5b,empty,upstream_numbers_prefix,n12,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n13,100,1
baseline_qwen1_5b,empty,upstream_numbers_prefix,n14,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n15,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n16,100,10
baseline_qwen1_5b,empty,upstream_numbers_prefix,n17,100,20
baseline_qwen1_5b,empty,upstream_numbers_prefix,n18,100,5
baseline_qwen1_5b,empty,upstream_numbers_prefix,n19,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n20,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n21,100,7
baseline_qwen1_5b,empty,upstream_numbers_prefix,n22,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n23,100,17
baseline_qwen1_5b,empty,upstream_numbers_prefix,n24,100,1
baseline_qwen1_5b,empty,upstream_numbers_prefix,n25,100,2
baseline_qwen1_5b,empty,upstream_numbers_prefix,n26,100,4
baseline_qwen1_5b,empty,upstream_numbers_prefix,n27,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n28,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n29,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n30,100,2
baseline_qwen1_5b,empty,upstream_numbers_prefix,n31,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n32,100,16
baseline_qwen1_5b,empty,upstream_numbers_prefix,n33,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n34,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n35,100,4
baseline_qwen1_5b,empty,upstream_numbers_prefix,n36,100,2
baseline_qwen1_5b,empty,upstream_numbers_prefix,n37,100,8
baseline_qwen1_5b,empty,upstream_numbers_prefix,n38,100,1
baseline_qwen1_5b,empty,upstream_numbers_prefix,n39,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n40,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n41,100,5
baseline_qwen1_5b,empty,upstream_numbers_prefix,n42,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n43,100,2
baseline_qwen1_5b,empty,upstream_numbers_prefix,n44,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n45,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n46,100,2
baseline_qwen1_5b,empty,upstream_numbers_prefix,n47,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n48,100,0
baseline_qwen1_5b,empty,upstream_numbers_prefix,n49,100,0
baseline_qwen1_5b,qwen,indirect_ours,i00,100,48
baseline_qwen1_5b,qwen,indirect_ours,i01,100,3
baseline_qwen1_5b,qwen,indirect_ours,i02,100,51
baseline_qwen1_5b,qwen,indirect_ours,i03,100,10
baseline_qwen1_5b,qwen,indirect_ours,i04,100,2
baseline_qwen1_5b,qwen,indirect_ours,i05,100,0
baseline_qwen1_5b,qwen,indirect_ours,i06,100,0
baseline_qwen1_5b,qwen,upstream,u00,100,4
baseline_qwen1_5b,qwen,upstream,u01,100,19
baseline_qwen1_5b,qwen,upstream,u02,100,89
baseline_qwen1_5b,qwen,upstream,u03,100,72
baseline_qwen1_5b,qwen,upstream,u04,100,44
baseline_qwen1_5b,qwen,upstream,u05,100,5
baseline_qwen1_5b,qwen,upstream,u06,100,53
baseline_qwen1_5b,qwen,upstream,u07,100,47
baseline_qwen1_5b,qwen,upstream,u08,100,0
baseline_qwen1_5b,qwen,upstream,u09,100,6
baseline_qwen1_5b,qwen,upstream,u10,100,19
baseline_qwen1_5b,qwen,upstream,u11,100,89
baseline_qwen1_5b,qwen,upstream,u12,100,0
baseline_qwen1_5b,qwen,upstream,u13,100,4
baseline_qwen1_5b,qwen,upstream,u14,100,2
baseline_qwen1_5b,qwen,upstream,u15,100,3
baseline_qwen1_5b,qwen,upstream,u16,100,40
baseline_qwen1_5b,qwen,upstream,u17,100,60
baseline_qwen1_5b,qwen,upstream,u18,100,4
baseline_qwen1_5b,qwen,upstream,u19,100,10
baseline_qwen1_5b,qwen,upstream,u20,100,1
baseline_qwen1_5b,qwen,upstream,u21,100,56
baseline_qwen1_5b,qwen,upstream,u22,100,4
baseline_qwen1_5b,qwen,upstream,u23,100,10
baseline_qwen1_5b,qwen,upstream,u24,100,13
baseline_qwen1_5b,qwen,upstream,u25,100,8
baseline_qwen1_5b,qwen,upstream,u26,100,13
baseline_qwen1_5b,qwen,upstream,u27,100,0
baseline_qwen1_5b,qwen,upstream,u28,100,0
baseline_qwen1_5b,qwen,upstream,u29,100,2
baseline_qwen1_5b,qwen,upstream,u30,100,29
baseline_qwen1_5b,qwen,upstream,u31,100,1
baseline_qwen1_5b,qwen,upstream,u32,100,35
baseline_qwen1_5b,qwen,upstream,u33,100,2
baseline_qwen1_5b,qwen,upstream,u34,100,0
baseline_qwen1_5b,qwen,upstream,u35,100,19
baseline_qwen1_5b,qwen,upstream,u36,100,1
baseline_qwen1_5b,qwen,upstream,u37,100,18
baseline_qwen1_5b,qwen,upstream,u38,100,2
baseline_qwen1_5b,qwen,upstream,u39,100,3
baseline_qwen1_5b,qwen,upstream,u40,100,21
baseline_qwen1_5b,qwen,upstream,u41,100,44
baseline_qwen1_5b,qwen,upstream,u42,100,1
baseline_qwen1_5b,qwen,upstream,u43,100,41
baseline_qwen1_5b,qwen,upstream,u44,100,0
baseline_qwen1_5b,qwen,upstream,u45,100,0
baseline_qwen1_5b,qwen,upstream,u46,100,40
baseline_qwen1_5b,qwen,upstream,u47,100,0
baseline_qwen1_5b,qwen,upstream,u48,100,1
baseline_qwen1_5b,qwen,upstream,u49,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n00,100,4
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n01,100,4
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n02,100,53
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n03,100,8
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n04,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n05,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n06,100,2
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n07,100,2
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n08,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n09,100,2
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n10,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n11,100,23
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n12,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n13,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n14,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n15,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n16,100,5
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n17,100,14
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n18,100,5
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n19,100,4
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n20,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n21,100,5
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n22,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n23,100,3
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n24,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n25,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n26,100,4
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n27,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n28,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n29,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n30,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n31,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n32,100,12
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n33,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n34,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n35,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n36,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n37,100,4
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n38,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n39,100,3
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n40,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n41,100,4
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n42,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n43,100,4
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n44,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n45,100,1
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n46,100,4
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n47,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n48,100,0
baseline_qwen1_5b,qwen,upstream_numbers_prefix,n49,100,0
baseline_qwen7b,chatgpt,indirect_ours,i00,100,3
baseline_qwen7b,chatgpt,indirect_ours,i01,100,1
baseline_qwen7b,chatgpt,indirect_ours,i02,100,0
baseline_qwen7b,chatgpt,indirect_ours,i03,100,0
baseline_qwen7b,chatgpt,indirect_ours,i04,100,0
baseline_qwen7b,chatgpt,indirect_ours,i05,100,0
baseline_qwen7b,chatgpt,indirect_ours,i06,100,0
baseline_qwen7b,chatgpt,upstream,u00,100,1
baseline_qwen7b,chatgpt,upstream,u01,100,0
baseline_qwen7b,chatgpt,upstream,u02,100,6
baseline_qwen7b,chatgpt,upstream,u03,100,12
baseline_qwen7b,chatgpt,upstream,u04,100,23
baseline_qwen7b,chatgpt,upstream,u05,100,0
baseline_qwen7b,chatgpt,upstream,u06,100,1
baseline_qwen7b,chatgpt,upstream,u07,100,1
baseline_qwen7b,chatgpt,upstream,u08,100,2
baseline_qwen7b,chatgpt,upstream,u09,100,0
baseline_qwen7b,chatgpt,upstream,u10,100,0
baseline_qwen7b,chatgpt,upstream,u11,100,20
baseline_qwen7b,chatgpt,upstream,u12,100,0
baseline_qwen7b,chatgpt,upstream,u13,100,1
baseline_qwen7b,chatgpt,upstream,u14,100,0
baseline_qwen7b,chatgpt,upstream,u15,100,0
baseline_qwen7b,chatgpt,upstream,u16,100,0
baseline_qwen7b,chatgpt,upstream,u17,100,13
baseline_qwen7b,chatgpt,upstream,u18,100,0
baseline_qwen7b,chatgpt,upstream,u19,100,0
baseline_qwen7b,chatgpt,upstream,u20,100,0
baseline_qwen7b,chatgpt,upstream,u21,100,31
baseline_qwen7b,chatgpt,upstream,u22,100,0
baseline_qwen7b,chatgpt,upstream,u23,100,3
baseline_qwen7b,chatgpt,upstream,u24,100,0
baseline_qwen7b,chatgpt,upstream,u25,100,2
baseline_qwen7b,chatgpt,upstream,u26,100,0
baseline_qwen7b,chatgpt,upstream,u27,100,0
baseline_qwen7b,chatgpt,upstream,u28,100,0
baseline_qwen7b,chatgpt,upstream,u29,100,0
baseline_qwen7b,chatgpt,upstream,u30,100,0
baseline_qwen7b,chatgpt,upstream,u31,100,0
baseline_qwen7b,chatgpt,upstream,u32,100,5
baseline_qwen7b,chatgpt,upstream,u33,100,0
baseline_qwen7b,chatgpt,upstream,u34,100,0
baseline_qwen7b,chatgpt,upstream,u35,100,0
baseline_qwen7b,chatgpt,upstream,u36,100,0
baseline_qwen7b,chatgpt,upstream,u37,100,7
baseline_qwen7b,chatgpt,upstream,u38,100,0
baseline_qwen7b,chatgpt,upstream,u39,100,0
baseline_qwen7b,chatgpt,upstream,u40,100,3
baseline_qwen7b,chatgpt,upstream,u41,100,1
baseline_qwen7b,chatgpt,upstream,u42,100,0
baseline_qwen7b,chatgpt,upstream,u43,100,5
baseline_qwen7b,chatgpt,upstream,u44,100,0
baseline_qwen7b,chatgpt,upstream,u45,100,0
baseline_qwen7b,chatgpt,upstream,u46,100,0
baseline_qwen7b,chatgpt,upstream,u47,100,0
baseline_qwen7b,chatgpt,upstream,u48,100,0
baseline_qwen7b,chatgpt,upstream,u49,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n00,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n01,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n02,100,16
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n03,100,91
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n04,100,2
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n05,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n06,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n07,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n08,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n09,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n10,100,1
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n11,100,11
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n12,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n13,100,3
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n14,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n15,100,12
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n16,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n17,100,8
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n18,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n19,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n20,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n21,100,27
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n22,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n23,100,95
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n24,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n25,100,3
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n26,100,3
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n27,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n28,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n29,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n30,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n31,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n32,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n33,100,3
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n34,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n35,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n36,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n37,100,6
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n38,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n39,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n40,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n41,100,1
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n42,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n43,100,1
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n44,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n45,100,1
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n46,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n47,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n48,100,0
baseline_qwen7b,chatgpt,upstream_numbers_prefix,n49,100,2
baseline_qwen7b,empty,indirect_ours,i00,100,13
baseline_qwen7b,empty,indirect_ours,i01,100,1
baseline_qwen7b,empty,indirect_ours,i02,100,0
baseline_qwen7b,empty,indirect_ours,i03,100,0
baseline_qwen7b,empty,indirect_ours,i04,100,0
baseline_qwen7b,empty,indirect_ours,i05,100,0
baseline_qwen7b,empty,indirect_ours,i06,100,0
baseline_qwen7b,empty,upstream,u00,100,2
baseline_qwen7b,empty,upstream,u01,100,1
baseline_qwen7b,empty,upstream,u02,100,5
baseline_qwen7b,empty,upstream,u03,100,5
baseline_qwen7b,empty,upstream,u04,100,16
baseline_qwen7b,empty,upstream,u05,100,0
baseline_qwen7b,empty,upstream,u06,100,0
baseline_qwen7b,empty,upstream,u07,100,1
baseline_qwen7b,empty,upstream,u08,100,5
baseline_qwen7b,empty,upstream,u09,100,0
baseline_qwen7b,empty,upstream,u10,100,0
baseline_qwen7b,empty,upstream,u11,100,22
baseline_qwen7b,empty,upstream,u12,100,0
baseline_qwen7b,empty,upstream,u13,100,2
baseline_qwen7b,empty,upstream,u14,100,0
baseline_qwen7b,empty,upstream,u15,100,0
baseline_qwen7b,empty,upstream,u16,100,0
